nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
director executiv adjunct,director executiv adjunct,VIII,funcționar public,81.10103004.12.2|81.20107004.09.2|81.30110006.08.2,6,VIII_CI_A_1!18|VIII_CI_A_2!13|VIII CI A 3 (local1)!15|VIII CI A 3 (local2)!14|VIII CI A 3 (local3)!14|VIII CI A 3 (local4)!14
director financiar contabil,Director financiar-contabil,II,,21.00102004.02.2,1,II CI 1!14
director general,Director general,II|IV|IX|VII|VIII,funcționar public|personal contractual,21.00104001.01.2|81.10103001.05.2|81.20107001.02.2|81.30110002.02.2|82.40107001.01.2|82.40116001.01.1|82.40118001.01.1|82.40120002.01.1|82.40201001.01.2|82.50125001.01.2|82.60127001.01.2,24,II CI 1!18|IV CVII!12|VII CI !11|VII CI !26|VII CI !45|VIII_CI_A_1!15|VIII_CI_A_2!10|VIII CI A 3 (local1)!11|VIII CI A 3 (local2)!10|VIII CI A 3 (local3)!10|VIII CI A 3 (local4)!10|VIII CII A 1!78|VIII CII A 1!159|VIII CII A 1!175|VIII CII A 1!186|VIII CII A 1!200|VIII CII A 2!11|VIII CII A 3_local1!9|VIII CII A 3_local2!9|VIII CII A 3_local3!10|VIII CII A 3_local4!11|VIII CII B!9|VIII CII F!11|IX B!64
director general adj,Director general adj,II,,21.00104002.02.2,1,II CI 1!19
director general adjunct,Director general adjunct,III|VII|VIII,funcționar public|personal contractual,31.00101002.01.2|31.00102002.01.2|32.00101002.01.2|32.00102002.01.2|33.00101002.01.2|33.00102002.01.2|81.10103002.05.2|81.20107002.04.2|81.30110004.02.2|82.40107002.01.2|82.40120003.01.1|82.40122002.01.2|82.40201002.01.2|82.50125002.01.2|82.60127002.01.2,25,III CI !9|III CI !64|III CII!10|III CII!40|III CIII!8|III CIII!38|VII CI !12|VII CI !27|VII CI !46|VIII_CI_A_1!16|VIII_CI_A_2!11|VIII CI A 3 (local1)!13|VIII CI A 3 (local2)!12|VIII CI A 3 (local3)!12|VIII CI A 3 (local4)!12|VIII CII A 1!79|VIII CII A 1!201|VIII CII A 1!213|VIII CII A 2!12|VIII CII A 3_local1!10|VIII CII A 3_local2!10|VIII CII A 3_local3!11|VIII CII A 3_local4!12|VIII CII B!10|VIII CII F!12
director general adjunct administrativ al universitatii,Director general adjunct administrativ al universitatii,I,,11.00101007.02.2,1,I CI 1-3!13
director general adjunct al directiei nationale de probatiune,Director general adjunct al Direcției Naționale de Probațiune,V,,57.00101002.01.1,1,V CVII!8
director general adjunct director de cabinet cu rang de consilier diplomatic,"Director general adjunct, director de cabinet cu rang de consilier diplomatic",IV,,41.00100004.02.2,1,IV CI + CII!11
director general adjunct director de cabinet cu rang diplomatic,"Director general adjunct, director de cabinet cu rang diplomatic",VIII,personal contractual,82.40103002.02.2,1,VIII CII A 1!46
director general adjunct inspector de stat sef adjunct inspector general adjunct,"Director general adjunct, inspector de stat șef adjunct, inspector general adjunct",VIII,personal contractual,82.40101005.03.2,1,VIII CII A 1!14
director general adjunct institut de cercetare,Director general adjunct institut de cercetare,I,,12.00101002.01.2,1,I CII!11
director general adjunct onrc,Director general adjunct ONRC,V,,56.00101002.01.2,1,V CVInef!9
director general administrativ al universitatii,Director general administrativ al universitatii,I,,11.00101003.01.2,1,I CI 1-3!9
director general al directiei nationale de probatiune,Director general al Direcției Naționale de Probațiune,V,,57.00101001.01.1,1,V CVII!7
director general cu rang de ministru consilier,Director general cu rang de ministru consilier,IV,,41.00100003.01.2,1,IV CI + CII!10
director general cu rang diplomatic,Director general cu rang diplomatic,VIII,personal contractual,82.40103001.01.2,1,VIII CII A 1!45
director general inspector de stat sef inspector general,"Director general, inspector de stat șef, inspector general",VIII,personal contractual,82.40101004.03.2,1,VIII CII A 1!13
director general institut de cercetare,Director general institut de cercetare,I,,12.00101001.01.2,1,I CII!10
director general onrc,Director general ONRC,V,,56.00101001.01.2,1,V CVInef!8
director inspector sef sef sector sef compartiment,"Director, inspector șef, șef sector, șef compartiment",VIII,personal contractual,82.40101006.04.2,1,VIII CII A 1!15
director institut de cercetare,Director institut de cercetare,I,,12.00101003.01.2,1,I CII!12
director institutie subordonata,Director institutie subordonata,VIII,personal contractual,82.40107003.01.2,1,VIII CII A 1!80
director medical,Director medical,II,,21.00102003.01.2|21.00103003.01.2,2,II CI 1!13|II CI 1!24
director onrc,Director ONRC,V,,56.00101003.01.2,1,V CVInef!10
director program de rezidentiat medicina de urgenta,Director program de rezidenţiat medicină de urgenţă,II,,,1,II CI 1!31
director sef sector audit,"Director, Şef sector audit",VIII,personal contractual,82.40122003.02.2,1,VIII CII A 1!214
director statiune de cercetare,director stațiune de cercetare,I,,12.00101005.02.2,1,I CII!14
director tehnic,Director tehnic,II|VIII,personal contractual,21.00103006.01.2,2,II CI 1!26|VIII CII F!24
director unitate de invatamant,Director unitate de învăţământ,I,,11.00201005.01.2,1,I CI 1-3!19
director zbor,Director zbor,VIII,personal contractual,,1,VIII CII F!23
directorul general al directiei generale de informatii a apararii,directorul general al Direcţiei Generale de Informaţii a Apărării,VI,,,1,VI_Armata!11
directorul serviciului de protectie si paza,directorul Serviciului de Protecţie şi Pază,VI,,,1,VI_Armata!10
directorul serviciului de telecomunicatii speciale,directorul Serviciului de Telecomunicaţii Speciale,VI,,,1,VI_Armata!10
dirijor cor maestru,"Dirijor cor, maestru",III,,31.00201002.03.1|31.00201002.03.2|31.00201002.03.3|31.00201002.03.4|31.00202002.03.1|31.00202002.03.2|31.00202002.03.3|31.00202002.03.4,8,III CI !22|III CI !23|III CI !24|III CI !25|III CI !77|III CI !78|III CI !79|III CI !80
dirijor dirijor cor actor artist circ instrumentist corist opera actor manuitor papusi corist sufleor balerin dansator corepetitor sculptor papusi artist plastic grafician referent literar muzical artistic regizor tehnic solist vocal balet instrumentist concertist instrumentist maestru balet dans corepetitor artist circ concertmaestru coregraf,"Dirijor, dirijor cor, Actor, artist circ, instrumentist, corist operă, actor mânuitor-păpuși, corist, sufleor, balerin, dansator, corepetitor, sculptor păpuși, artist plastic, grafician, referent literar/muzical/artistic, regizor tehnic), solist (vocal, balet, instrumentist, concertist, instrumentist), maestru (balet-dans, corepetitor, artist circ), concertmaestru, coregraf",III,,31.00201007.21.1|31.00201007.21.2|31.00201007.21.3|31.00201007.21.4|31.00202007.21.1|31.00202007.21.2|31.00202007.21.3|31.00202007.21.4,8,III CI !42|III CI !43|III CI !44|III CI !45|III CI !97|III CI !98|III CI !99|III CI !100
dirijor regizor artistic scenograf coregraf solist vocal balet concertist instrumentist prim balerin concertmaestru sef parada actor teatru manuitor papusi marionete,"Dirijor, regizor artistic, scenograf, coregraf, solist (vocal, balet, concertist, instrumentist), prim balerin, concertmaestru, șef paradă, actor (teatru, mânuitor păpuși-marionete)",III,,31.00202001.08.1|31.00202001.08.2|31.00202001.08.3|31.00202001.08.4,4,III CI !73|III CI !74|III CI !75|III CI !76
dirijor regizor artistic scenograf coregraf solist vocal balet concertist instrumentist sef parada prim balerin concertmaestru actor teatru manuitor papusi marionete,"Dirijor, regizor artistic, scenograf, coregraf, solist (vocal, balet, concertist, instrumentist), șef paradă, prim balerin, concertmaestru, actor (teatru, mânuitor păpuși-marionete)",III,,31.00201001.08.1|31.00201001.08.2|31.00201001.08.3|31.00201001.08.4,4,III CI !18|III CI !19|III CI !20|III CI !21
dispecer operatiuni sol,Dispecer operaţiuni sol,VIII,personal contractual,,4,VIII CII F!87|VIII CII F!88|VIII CII F!89|VIII CII F!90
dispecer operatiuni zbor,Dispecer operaţiuni zbor,VIII,personal contractual,,4,VIII CII F!83|VIII CII F!84|VIII CII F!85|VIII CII F!86
djip,DJIP,I,,11.00302005.01.2,2,I CI 1-3!29|I CI 1-3!30
dmbip nivel maxim,DMBIP - nivel maxim,I,,11.00302005.01.2,2,I CI 1-3!29|I CI 1-3!30
economist,economist,VIII,personal contractual,82.40202003.02.1|82.40202003.02.2|82.40202003.02.3|82.40202003.02.4,4,VIII CII B!24|VIII CII B!25|VIII CII B!26|VIII CII B!27
educatoare,educatoare,I,,11.00501017.03.1|11.00501017.03.2|11.00501017.03.3|11.00501017.03.4|11.00501017.03.5|11.00501018.03.1|11.00501018.03.2|11.00501018.03.3|11.00501018.03.4|11.00501018.03.5|11.00501018.03.6|11.00501019.03.1|11.00501019.03.2|11.00501019.03.3|11.00501019.03.4|11.00501019.03.5|11.00501019.03.6|11.00501020.03.1|11.00501021.04.1|11.00501021.04.2|11.00501021.04.3|11.00501021.04.4|11.00501021.04.5|11.00501021.04.6|11.00501021.04.7,25,I CI 4-5-6!106|I CI 4-5-6!107|I CI 4-5-6!108|I CI 4-5-6!109|I CI 4-5-6!110|I CI 4-5-6!111|I CI 4-5-6!112|I CI 4-5-6!113|I CI 4-5-6!114|I CI 4-5-6!115|I CI 4-5-6!116|I CI 4-5-6!117|I CI 4-5-6!118|I CI 4-5-6!119|I CI 4-5-6!120|I CI 4-5-6!121|I CI 4-5-6!122|I CI 4-5-6!123|I CI 4-5-6!124|I CI 4-5-6!125|I CI 4-5-6!126|I CI 4-5-6!127|I CI 4-5-6!128|I CI 4-5-6!129|I CI 4-5-6!130
educator,Educator,II,,21.00303017.01.1,1,II CI 3!31
educator debutant,Educator debutant,II,,21.00303018.01.1,1,II CI 3!32
educator educator puericultor asistent igiena asistent bft optician protezare ortopedica si auditiva asistent medical tehnician asistenta sociala 1,"Educator, educator puericultor, asistent igiena, asistent BFT, optician protezare ortopedică și auditivă, asistent medical, tehnician asistență socială 1*)",II,,21.00303029.06.1,1,II CI 3!43
educator educator puericultor asistent igiena asistent bft optician protezare ortopedica si auditiva asistent medical tehnician asistenta sociala principal 1,"Educator, educator puericultor, asistent igiena, asistent BFT, optician protezare ortopedică și auditivă, asistent medical, tehnician asistență socială, principal 1*)",II,,21.00303028.06.1,1,II CI 3!42
educator educator puericultor asistent medical,"Educator, educator puericultor, asistent medical",II,,21.00303025.03.1|21.00303027.03.1,2,II CI 3!39|II CI 3!41
educator educator puericultor asistent medical 1,"Educator, educator puericultor, asistent medical 1*)",II,,21.00303026.03.1,1,II CI 3!40
educator principal,Educator principal,II,,21.00303016.01.1,1,II CI 3!30
educator profesor cfm educator puericultor asistent medical,"Educator, profesor CFM, educator puericultor, asistent medical",II,,21.00303022.04.1|21.00303023.04.1|21.00303024.04.1,3,II CI 3!36|II CI 3!37|II CI 3!38
educator puericultor,educator-puericultor,I,,11.00501001.01.1|11.00501001.01.2|11.00501001.01.3|11.00501001.01.4|11.00501001.01.5|11.00501001.01.6|11.00501002.01.1|11.00501002.01.2|11.00501002.01.3|11.00501002.01.4|11.00501002.01.5|11.00501002.01.6|11.00501003.01.1|11.00501003.01.2|11.00501003.01.3|11.00501003.01.4|11.00501003.01.5|11.00501003.01.6|11.00501004.01.1|11.00501005.01.1|11.00501005.01.2|11.00501005.01.3|11.00501005.01.4|11.00501005.01.5|11.00501006.01.1|11.00501006.01.2|11.00501006.01.3|11.00501006.01.4|11.00501006.01.5|11.00501006.01.6|11.00501007.01.1|11.00501007.01.2|11.00501007.01.3|11.00501007.01.4|11.00501007.01.5|11.00501007.01.6|11.00501008.01.1|11.00501013.02.1|11.00501013.02.2|11.00501013.02.3|11.00501013.02.4|11.00501013.02.5|11.00501014.02.1|11.00501014.02.2|11.00501014.02.3|11.00501014.02.4|11.00501014.02.5|11.00501014.02.6|11.00501015.02.1|11.00501015.02.2|11.00501015.02.3|11.00501015.02.4|11.00501015.02.5|11.00501015.02.6|11.00501016.02.1|11.00501017.03.1|11.00501017.03.2|11.00501017.03.3|11.00501017.03.4|11.00501017.03.5|11.00501018.03.1|11.00501018.03.2|11.00501018.03.3|11.00501018.03.4|11.00501018.03.5|11.00501018.03.6|11.00501019.03.1|11.00501019.03.2|11.00501019.03.3|11.00501019.03.4|11.00501019.03.5|11.00501019.03.6|11.00501020.03.1|11.00501021.04.1|11.00501021.04.2|11.00501021.04.3|11.00501021.04.4|11.00501021.04.5|11.00501021.04.6|11.00501021.04.7,80,I CI 4-5-6!33|I CI 4-5-6!34|I CI 4-5-6!35|I CI 4-5-6!36|I CI 4-5-6!37|I CI 4-5-6!38|I CI 4-5-6!39|I CI 4-5-6!40|I CI 4-5-6!41|I CI 4-5-6!42|I CI 4-5-6!43|I CI 4-5-6!44|I CI 4-5-6!45|I CI 4-5-6!46|I CI 4-5-6!47|I CI 4-5-6!48|I CI 4-5-6!49|I CI 4-5-6!50|I CI 4-5-6!51|I CI 4-5-6!52|I CI 4-5-6!53|I CI 4-5-6!54|I CI 4-5-6!55|I CI 4-5-6!56|I CI 4-5-6!57|I CI 4-5-6!58|I CI 4-5-6!59|I CI 4-5-6!60|I CI 4-5-6!61|I CI 4-5-6!62|I CI 4-5-6!63|I CI 4-5-6!64|I CI 4-5-6!65|I CI 4-5-6!66|I CI 4-5-6!67|I CI 4-5-6!68|I CI 4-5-6!69|I CI 4-5-6!88|I CI 4-5-6!89|I CI 4-5-6!90
electrician aspirant,electrician aspirant,VIII,personal contractual,,1,VIII CII E!23
electrician de bord,electrician de bord,VIII,personal contractual,,2,VIII CII E!38|VIII CII E!40
expert,expert,IV|VIII,funcționar public|personal contractual,81.10104002.04.1|81.10104002.04.2|81.10104002.04.3|81.10104002.04.4|81.20108002.04.1|81.20108002.04.2|81.20108002.04.3|81.20108002.04.4|81.30111002.04.1|81.30111002.04.2|81.30111002.04.3|81.30111002.04.4|82.40112003.01.1|82.40202002.04.1|82.40202002.04.2|82.40202002.04.3|82.40202002.04.4|82.40204001.01.1|82.40204001.01.2|82.40204001.01.3|82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,56,IV CVII!23|IV CVII!24|IV CVII!25|IV CVII!26|VIII_CI_A_1!25|VIII_CI_A_1!26|VIII_CI_A_1!27|VIII_CI_A_1!28|VIII_CI_A_2!20|VIII_CI_A_2!21|VIII_CI_A_2!22|VIII_CI_A_2!23|VIII CI A 3 (local1)!24|VIII CI A 3 (local1)!25|VIII CI A 3 (local1)!26|VIII CI A 3 (local1)!27|VIII CI A 3 (local2)!23|VIII CI A 3 (local2)!24|VIII CI A 3 (local2)!25|VIII CI A 3 (local2)!26|VIII CI A 3 (local3)!23|VIII CI A 3 (local3)!24|VIII CI A 3 (local3)!25|VIII CI A 3 (local3)!26|VIII CI A 3 (local4)!23|VIII CI A 3 (local4)!24|VIII CI A 3 (local4)!25|VIII CI A 3 (local4)!26|VIII CII A 1!149|VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21|VIII CII A 3_local1!22|VIII CII A 3_local2!19|VIII CII A 3_local2!20|VIII CII A 3_local2!21
expert accesare fonduri implementare si administrare proiecte securitate cibernetica,"expert accesare fonduri, implementare şi administrare proiecte Securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert analiza surse deschise riscuri si amenintari securitate cibernetica,"expert analiză surse deschise, riscuri şi ameninţări securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert consultant,Expert-consultant,VIII,personal contractual,82.40203001.01.1|82.40203001.01.2|82.40203001.01.3,3,VIII CII B!41|VIII CII B!42|VIII CII B!43
expert coordonator,expert coordonator,VIII,funcționar public,81.10105009.04.1|81.10105009.04.2|81.10105009.04.3|81.10105009.04.4|81.20109001.03.1|81.20109001.03.2|81.20109001.03.3|81.20109001.03.4,8,VIII_CI_A_1!50|VIII_CI_A_1!51|VIII_CI_A_1!52|VIII_CI_A_1!53|VIII_CI_A_2!33|VIII_CI_A_2!34|VIII_CI_A_2!35|VIII_CI_A_2!36
expert criminalist gradul i,Expert criminalist gradul I,V,,55.00101004.01.1|55.00101004.01.2|55.00101004.01.3|55.00101004.01.4|55.00101004.01.5,5,V CV!12|V CV!13|V CV!14|V CV!15|V CV!16
expert criminalist gradul ii,Expert criminalist gradul II,V,,55.00101005.01.1|55.00101005.01.2|55.00101005.01.3|55.00101005.01.4|55.00101005.01.5,5,V CV!17|V CV!18|V CV!19|V CV!20|V CV!21
expert criminalist gradul iii,Expert criminalist gradul III,V,,55.00101006.01.1|55.00101006.01.2|55.00101006.01.3|55.00101006.01.4|55.00101006.01.5,5,V CV!22|V CV!23|V CV!24|V CV!25|V CV!26
expert criminalist gradul iv,Expert criminalist gradul IV,V,,55.00101007.01.1|55.00101007.01.2|55.00101007.01.3|55.00101007.01.4|55.00101007.01.5,5,V CV!27|V CV!28|V CV!29|V CV!30|V CV!31
expert dezvoltare competente aptitudini si cunostinte specifice de securitate cibernetica,"expert dezvoltare competenţe, aptitudini şi cunoştinţe specifice de securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert dezvoltare implementare si administrare infrastructuri securitate cibernetica,"expert dezvoltare, implementare şi administrare infrastructuri securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert evaluare examinare,expert evaluare - examinare,VIII,funcționar public,81.10105013.02.1|81.10105013.02.2|81.10105013.02.3|81.10105013.02.4,4,VIII_CI_A_1!70|VIII_CI_A_1!71|VIII_CI_A_1!72|VIII_CI_A_1!73
expert evaluare si impact financiar securitate cibernetica,expert evaluare şi impact financiar Securitate cibernetică,VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert gradul i,Expert gradul I,V,,54.00101003.01.1|54.00101003.01.2|54.00101003.01.3|54.00101003.01.4|54.00101003.01.5,5,V CIV!19|V CIV!20|V CIV!21|V CIV!22|V CIV!23
expert in fizica medicala,Expert în fizică medicală,II,,,1,II CI 2!75
expert instruire sol,Expert instruire sol,VIII,personal contractual,,3,VIII CII F!79|VIII CII F!80|VIII CII F!81
expert investigatii digitale si analiza malware,expert investigaţii digitale şi analiză malware,VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert legal politici standardizare de securitate cibernetica,"expert legal politici, standardizare de securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert parlamentar,Expert parlamentar,VIII,funcționar public,81.10105002.01.1,1,VIII_CI_A_1!43
expert politici strategii si cooperare securitate cibernetica,"expert politici, strategii şi cooperare Securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert preluare analiza primara si raspuns la incidente securitate cibernetica,"expert preluare, analiză primară şi răspuns la incidente securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert securitate cibernetica,Expert securitate cibernetică,VIII,personal contractual,,4,VIII CII A 1!252|VIII CII A 1!253|VIII CII A 1!254|VIII CII A 1!255
expert specialist,Expert specialist,V,,56.00201009.01.1|56.00201010.01.1|56.00201011.01.1|56.00201012.01.1,4,V CVInef!20|V CVInef!21|V CVInef!22|V CVInef!23
expert sportiv,expert sportiv,VIII,personal contractual,82.40401001.04.1|82.40401001.04.2|82.40401001.04.3|82.40401001.04.4|82.40401001.04.5|82.40403001.01.1|82.40403001.01.2|82.40403001.01.3,8,VIII CII D!9|VIII CII D!10|VIII CII D!11|VIII CII D!12|VIII CII D!13|VIII CII D!23|VIII CII D!24|VIII CII D!25
farmacist,Farmacist,II,,21.00201018.01.1,1,II CI 2!25
farmacist primar,Farmacist primar *,II,,21.00201016.01.1,1,II CI 2!23
farmacist rezident anul i,Farmacist rezident anul I,II,,21.00201021.01.1,1,II CI 2!28
farmacist rezident anul ii,Farmacist rezident anul II,II,,21.00201020.01.1,1,II CI 2!27
farmacist rezident anul iii,Farmacist rezident anul III,II,,21.00201019.01.1,1,II CI 2!26
farmacist sef,Farmacist şef,II,,,1,II CI 1!35
farmacist specialist,Farmacist specialist,II,,21.00201017.01.1,1,II CI 2!24
fitter,fitter,VIII,personal contractual,,2,VIII CII E!38|VIII CII E!40
fizician medical,Fizician medical,II,,,1,II CI 2!77
fizician medical debutant,Fizician medical - debutant,II,,,1,II CI 2!78
fizician medical principal,Fizician medical - principal,II,,,1,II CI 2!75
fizician medical specialist,Fizician medical - specialist,II,,,1,II CI 2!76
fiziokinetoterapeut,Fiziokinetoterapeut,II,,21.00303014.01.1,1,II CI 3!28
fiziokinetoterapeut debutant,Fiziokinetoterapeut debutant,II,,21.00303015.01.1,1,II CI 3!29
fiziokinetoterapeut principal,Fiziokinetoterapeut principal,II,,21.00303012.01.1,1,II CI 3!26
fiziokinetoterapeut specialist,Fiziokinetoterapeut specialist,II,,21.00303013.01.1,1,II CI 3!27
fizioterapeut,Fizioterapeut,II,,21.00205007.05.1,1,II CI 2!73
fizioterapeut debutant,Fizioterapeut debutant,II,,,1,II CI 2!74
fizioterapeut principal,Fizioterapeut principal,II,,21.00205005.05.1,1,II CI 2!71
fizioterapeut specialist,Fizioterapeut specialist,II,,21.00205006.05.1,1,II CI 2!72
functii corespunzatoare gradului de agent agent sef principal de politie,Funcţii corespunzătoare gradului de agent - agent șef principal de poliţie,VI,,,4,VI_Armata!24|VI_Armata!25|VI_Armata!26|VI_Armata!27
functii corespunzatoare gradului de agent de politie,Funcţii corespunzătoare gradului de agent de poliţie,VI,,,2,VI_Armata!28|VI_Armata!29
functii corespunzatoare gradului de capitan,Funcţii corespunzătoare gradului de căpitan,VI,,,1,VI_Armata!20
functii corespunzatoare gradului de caporal clasa a ii a,Funcţii corespunzătoare gradului de caporal clasa a II-a,VI,,,1,VI_Armata!65
functii corespunzatoare gradului de caporal clasa a iii a,Funcţii corespunzătoare gradului de caporal clasa a III-a,VI,,,1,VI_Armata!66
functii corespunzatoare gradului de caporal clasa i,Funcţii corespunzătoare gradului de caporal clasa I,VI,,,1,VI_Armata!64
functii corespunzatoare gradului de colonel,Funcţii corespunzătoare gradului de colonel,VI,,,1,VI_Armata!17
functii corespunzatoare gradului de fruntas,Funcţii corespunzătoare gradului de fruntaș,VI,,,1,VI_Armata!67
functii corespunzatoare gradului de general,Funcţii corespunzătoare gradului de general,VI,,,1,VI_Armata!13
functii corespunzatoare gradului de general de brigada,Funcţii corespunzătoare gradului de general de brigadă,VI,,,1,VI_Armata!16
functii corespunzatoare gradului de general locotenent,Funcţii corespunzătoare gradului de general-locotenent,VI,,,1,VI_Armata!14
functii corespunzatoare gradului de general maior,Funcţii corespunzătoare gradului de general-maior,VI,,,1,VI_Armata!15
functii corespunzatoare gradului de locotenent,Funcţii corespunzătoare gradului de locotenent,VI,,,1,VI_Armata!21
functii corespunzatoare gradului de locotenent colonel,Funcţii corespunzătoare gradului de locotenent-colonel,VI,,,1,VI_Armata!18
functii corespunzatoare gradului de maior,Funcţii corespunzătoare gradului de maior,VI,,,1,VI_Armata!19
functii corespunzatoare gradului de maistru militar clasa a ii a,Funcţii corespunzătoare gradului de maistru militar clasa a II-a,VI,,,3,VI_Armata!42|VI_Armata!43|VI_Armata!44
functii corespunzatoare gradului de maistru militar clasa a iii a,Funcţii corespunzătoare gradului de maistru militar clasa a III-a,VI,,,3,VI_Armata!48|VI_Armata!49|VI_Armata!50
functii corespunzatoare gradului de maistru militar clasa a iv a,Funcţii corespunzătoare gradului de maistru militar clasa a IV-a,VI,,,3,VI_Armata!54|VI_Armata!55|VI_Armata!56
functii corespunzatoare gradului de maistru militar clasa a v a,Funcţii corespunzătoare gradului de maistru militar clasa a V-a,VI,,,2,VI_Armata!60|VI_Armata!61
functii corespunzatoare gradului de maistru militar clasa i,Funcţii corespunzătoare gradului de maistru militar clasa I,VI,,,3,VI_Armata!36|VI_Armata!37|VI_Armata!38
functii corespunzatoare gradului de maistru militar principal,Funcţii corespunzătoare gradului de maistru militar principal,VI,,,3,VI_Armata!30|VI_Armata!31|VI_Armata!32
functii corespunzatoare gradului de plutonier,Funcţii corespunzătoare gradului de plutonier,VI,,,3,VI_Armata!51|VI_Armata!52|VI_Armata!53
functii corespunzatoare gradului de plutonier adjutant,Funcţii corespunzătoare gradului de plutonier adjutant,VI,,,3,VI_Armata!39|VI_Armata!40|VI_Armata!41
functii corespunzatoare gradului de plutonier adjutant sef,Funcţii corespunzătoare gradului de plutonier adjutant șef,VI,,,3,VI_Armata!33|VI_Armata!34|VI_Armata!35
functii corespunzatoare gradului de plutonier major,Funcţii corespunzătoare gradului de plutonier major,VI,,,3,VI_Armata!45|VI_Armata!46|VI_Armata!47
functii corespunzatoare gradului de sergent,Funcţii corespunzătoare gradului de sergent,VI,,,2,VI_Armata!62|VI_Armata!63
functii corespunzatoare gradului de sergent major,Funcţii corespunzătoare gradului de sergent-major,VI,,,3,VI_Armata!57|VI_Armata!58|VI_Armata!59
functii corespunzatoare gradului de soldat,Funcţii corespunzătoare gradului de soldat,VI,,,1,VI_Armata!68
functii corespunzatoare gradului de subinspector de politie,Funcţii corespunzătoare gradului de subinspector de poliţie,VI,,,1,VI_Armata!23
functii corespunzatoare gradului de sublocotenent,Funcţii corespunzătoare gradului de sublocotenent,VI,,,1,VI_Armata!22
functionar,funcţionar,VIII,personal contractual,82.40302005.04.1|82.40302005.04.2,2,VIII CII C!21|VIII CII C!22
garderobier,Garderobier,III,,33.00201009.01.1|33.00202009.01.1,2,III CIII!34|III CIII!64
general de flotila aeriana,general de flotilă aeriană,VI,,,1,VI_Armata!16
gerontologie si asistenta sociala pentru varstnici,gerontologie şi asistenţă socială pentru vârstnici,II,,21.00201032.27.1,1,II CI 2!36
grefier,Grefier,V,,52.00101007.07.1|52.00101007.07.2|52.00101007.07.3|52.00101007.07.4|52.00101007.07.5|52.00101008.07.1|52.00101008.07.2|52.00101008.07.3|52.00101008.07.4|52.00101008.07.5|52.00101009.07.1|52.00101010.05.1|52.00101010.05.2|52.00101010.05.3|52.00101010.05.4|52.00101010.05.5,16,V CII!13|V CII!14|V CII!15|V CII!16|V CII!17|V CII!18|V CII!19|V CII!20|V CII!21|V CII!22|V CII!23|V CII!24|V CII!25|V CII!26|V CII!27|V CII!28
grefier arhivar,grefier arhivar,V,,52.00101007.07.1|52.00101007.07.2|52.00101007.07.3|52.00101007.07.4|52.00101007.07.5|52.00101008.07.1|52.00101008.07.2|52.00101008.07.3|52.00101008.07.4|52.00101008.07.5|52.00101009.07.1|52.00101010.05.1|52.00101010.05.2|52.00101010.05.3|52.00101010.05.4|52.00101010.05.5,16,V CII!13|V CII!14|V CII!15|V CII!16|V CII!17|V CII!18|V CII!19|V CII!20|V CII!21|V CII!22|V CII!23|V CII!24|V CII!25|V CII!26|V CII!27|V CII!28
grefier arhivar sef,grefier arhivar șef,V,,52.00101002.03.1|52.00101005.05.1,2,V CII!9|V CII!10
grefier documentarist,grefier-documentarist,V,,52.00101007.07.1|52.00101007.07.2|52.00101007.07.3|52.00101007.07.4|52.00101007.07.5|52.00101008.07.1|52.00101008.07.2|52.00101008.07.3|52.00101008.07.4|52.00101008.07.5|52.00101009.07.1|52.00101010.05.1|52.00101010.05.2|52.00101010.05.3|52.00101010.05.4|52.00101010.05.5,16,V CII!13|V CII!14|V CII!15|V CII!16|V CII!17|V CII!18|V CII!19|V CII!20|V CII!21|V CII!22|V CII!23|V CII!24|V CII!25|V CII!26|V CII!27|V CII!28
grefier grefier statistician grefier documentarist grefier arhivar grefier registrator debutant,"Grefier, grefier-statistician, grefier-documentarist, grefier arhivar, grefier registrator, debutant",V,,52.00101012.05.1,1,V CII!34
