nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
antrenor,Antrenor,I|VIII,personal contractual,82.40403003.01.1|82.40403003.01.2|82.40403003.01.3|82.40403003.01.4|82.40403003.01.5|82.40403003.01.6,24,I CI 4-5-6!131|I CI 4-5-6!132|I CI 4-5-6!133|I CI 4-5-6!134|I CI 4-5-6!135|I CI 4-5-6!136|I CI 4-5-6!137|I CI 4-5-6!138|I CI 4-5-6!139|I CI 4-5-6!140|I CI 4-5-6!141|I CI 4-5-6!142|VIII CII D!29|VIII CII D!30|VIII CII D!31|VIII CII D!32|VIII CII D!33|VIII CII D!34|VIII CII D!35|VIII CII D!36|VIII CII D!37|VIII CII D!38|VIII CII D!39|VIII CII D!40
antrenor federal,antrenor federal,VIII,personal contractual,82.40401001.04.1|82.40401001.04.2|82.40401001.04.3|82.40401001.04.4|82.40401001.04.5,5,VIII CII D!9|VIII CII D!10|VIII CII D!11|VIII CII D!12|VIII CII D!13
antrenor lot national,antrenor lot naţional **),VIII,personal contractual,82.40401001.04.1|82.40401001.04.2|82.40401001.04.3|82.40401001.04.4|82.40401001.04.5,5,VIII CII D!9|VIII CII D!10|VIII CII D!11|VIII CII D!12|VIII CII D!13
aprod,Aprod,V,,53.00101002.01.1|53.00101002.01.2|53.00101002.01.3|53.00101002.01.4|53.00101002.01.5,5,V CIII!13|V CIII!14|V CIII!15|V CIII!16|V CIII!17
arhitect,arhitect,VIII,personal contractual,82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,20,VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21|VIII CII A 3_local1!22|VIII CII A 3_local2!19|VIII CII A 3_local2!20|VIII CII A 3_local2!21|VIII CII A 3_local2!22|VIII CII A 3_local3!20|VIII CII A 3_local3!21|VIII CII A 3_local3!22|VIII CII A 3_local3!23|VIII CII A 3_local4!21|VIII CII A 3_local4!22|VIII CII A 3_local4!23|VIII CII A 3_local4!24
arhitect sef,Arhitect-şef,VIII,funcționar public,81.30110003.01.2,8,VIII CI A 3 (local1)!12|VIII CI A 3 (local1)!19|VIII CI A 3 (local2)!11|VIII CI A 3 (local2)!18|VIII CI A 3 (local3)!11|VIII CI A 3 (local3)!18|VIII CI A 3 (local4)!11|VIII CI A 3 (local4)!18
arhitect tic,Arhitect TIC,VIII,personal contractual,,2,VIII CII I!25|VIII CII I!32
arhivar,Arhivar,VIII,personal contractual,82.40106003.01.1|82.40106003.01.2|82.40106003.01.3|82.40106003.01.4|82.40108014.01.1|82.40302005.04.1|82.40302005.04.2|82.60128005.04.1|82.60128005.04.2|82.60128005.04.3|82.60128005.04.4,23,VIII CII A 1!71|VIII CII A 1!72|VIII CII A 1!73|VIII CII A 1!74|VIII CII A 1!131|VIII CII A 3_local1!31|VIII CII A 3_local1!32|VIII CII A 3_local1!33|VIII CII A 3_local1!34|VIII CII A 3_local2!31|VIII CII A 3_local2!32|VIII CII A 3_local2!33|VIII CII A 3_local2!34|VIII CII A 3_local3!32|VIII CII A 3_local3!33|VIII CII A 3_local3!34|VIII CII A 3_local3!35|VIII CII A 3_local4!33|VIII CII A 3_local4!34|VIII CII A 3_local4!35|VIII CII A 3_local4!36|VIII CII C!21|VIII CII C!22
arhivar debutant,Arhivar debutant,VIII,personal contractual,82.40108014.01.2,1,VIII CII A 1!132
arhivist,Arhivist,IV|VIII,personal contractual,82.40106001.01.1|82.40106001.01.2|82.40106001.01.3|82.40106001.01.4|82.40106002.01.1|82.40106002.01.2|82.40106002.01.3|82.40106002.01.4|82.40202004.05.1|82.40202004.05.2|82.40202004.05.3|82.40202004.05.4|82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,36,IV CVII!35|IV CVII!36|IV CVII!37|IV CVII!38|VIII CII A 1!63|VIII CII A 1!64|VIII CII A 1!65|VIII CII A 1!66|VIII CII A 1!67|VIII CII A 1!68|VIII CII A 1!69|VIII CII A 1!70|VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32|VIII CII B!28|VIII CII B!29|VIII CII B!30|VIII CII B!31
