version_id,anexa,sheet,source_row,cod,coduri,functie,sinonime,regim,tip_post,nivel_administrativ,banda_populatie,grad_treapta,vechime,studii,sectiune,coef_min,coef_max,coeficienti,coef_labels,needs_review
2026-07-17,I,I CI 1-3,31,11.00302001.01.2,11.00302001.01.2,Contabil-şef - nivel maxim,Contabil-şef - nivel maxim,,conducere,,,,,S,a) Învăţământ superior,2.392239487500001,2.6580438750000006,2.392239488|2.658043875,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,32,11.00302002.01.2,11.00302002.01.2,Secretar- şef unitate de învăţământ - nivel maxim,Secretar- şef unitate de învăţământ - nivel maxim,,conducere,,,,,S,a) Învăţământ superior,2.392239487500001,2.6580438750000006,2.392239488|2.658043875,Grad I|Grad II,0
2026-07-17,I,I CI 4-5-6,8,11.00401001.01.1,11.00401001.01.1,Profesor universitar,Profesor universitar,,,,,,peste 25 de ani,S,4. Coeficienți de salarizare învăţământ universitar,4,4,4,Gradația 0,0
2026-07-17,I,I CI 4-5-6,9,11.00401001.01.2,11.00401001.01.2,Profesor universitar,Profesor universitar,,,,,,20-25 ani,S,4. Coeficienți de salarizare învăţământ universitar,3.52,3.52,3.52,Gradația 0,0
2026-07-17,I,I CI 4-5-6,10,11.00401001.01.3,11.00401001.01.3,Profesor universitar,Profesor universitar,,,,,,15-20 ani,S,4. Coeficienți de salarizare învăţământ universitar,3.0624,3.0624,3.0624,Gradația 0,0
2026-07-17,I,I CI 4-5-6,11,11.00401001.01.4,11.00401001.01.4,Profesor universitar,Profesor universitar,,,,,,10-15 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.694912,2.694912,2.694912,Gradația 0,0
2026-07-17,I,I CI 4-5-6,12,11.00401001.01.5,11.00401001.01.5,Profesor universitar,Profesor universitar,,,,,,5-10 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.45,2.45,2.45,Gradația 0,0
2026-07-17,I,I CI 4-5-6,13,11.00401002.01.1,11.00401002.01.1,Conferenţiar universitar,Conferenţiar universitar,,,,,,peste 25 de ani,S,4. Coeficienți de salarizare învăţământ universitar,3.12,3.12,3.12,Gradația 0,0
2026-07-17,I,I CI 4-5-6,14,11.00401002.01.2,11.00401002.01.2,Conferenţiar universitar,Conferenţiar universitar,,,,,,20-25 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.75,2.75,2.75,Gradația 0,0
2026-07-17,I,I CI 4-5-6,15,11.00401002.01.3,11.00401002.01.3,Conferenţiar universitar,Conferenţiar universitar,,,,,,15-20 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.45,2.45,2.45,Gradația 0,0
2026-07-17,I,I CI 4-5-6,16,11.00401002.01.4,11.00401002.01.4,Conferenţiar universitar,Conferenţiar universitar,,,,,,10-15 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.25,2.25,2.25,Gradația 0,0
2026-07-17,I,I CI 4-5-6,17,11.00401002.01.5,11.00401002.01.5,Conferenţiar universitar,Conferenţiar universitar,,,,,,5-10 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.18,2.18,2.18,Gradația 0,0
