cod_cor,denumire,denumire_normalizata,grupa_majora,subgrupa_majora,grupa_minora,isco_grupa_de_baza
121107,șef serviciu/ șef birou/ bancă/ societate de leasing,sef serviciu sef birou banca societate de leasing,1,12,121,1211
121108,coordonator compartiment/ colectiv bancă,coordonator compartiment colectiv banca,1,12,121,1211
121109,dealer-șef (arbitragist bancă),dealer sef arbitragist banca,1,12,121,1211
121110,director unitate bancară operațională/ director adjunct unitate bancară  operațională,director unitate bancara operationala director adjunct unitate bancara operationala,1,12,121,1211
121111,șef agenție bancară,sef agentie bancara,1,12,121,1211
121112,contabil-șef/ director financiar/ bancă/ societate de leasing,contabil sef director financiar banca societate de leasing,1,12,121,1211
121113,director de arhivă bancă,director de arhiva banca,1,12,121,1211
121114,director/ director adjunct divizie/ direcție de leasing,director director adjunct divizie directie de leasing,1,12,121,1211
121116,director/ director executiv conformitate,director director executiv conformitate,1,12,121,1211
121117,coordonator conformitate,coordonator conformitate,1,12,121,1211
121118,manager securitatea informației (Chief Information Security Officer -CISO),manager securitatea informatiei chief information security officer ciso,1,12,121,1211
121119,comisar șef divizie Garda Financiară,comisar sef divizie garda financiara,1,12,121,1211
121120,contabil-șef,contabil sef,1,12,121,1211
121121,controlor financiar,controlor financiar,1,12,121,1211
121122,șef agenție CEC,sef agentie cec,1,12,121,1211
121123,șef birou/ serviciu/ secție circumscripție financiară,sef birou serviciu sectie circumscriptie financiara,1,12,121,1211
121124,șef birou/ serviciu financiar-contabilitate,sef birou serviciu financiar contabilitate,1,12,121,1211
121125,manager financiar,manager financiar,1,12,121,1211
121126,manager relații financiare externe,manager relatii financiare externe,1,12,121,1211
121127,controlor revizor financiar,controlor revizor financiar,1,12,121,1211
121128,șef birou financiar,sef birou financiar,1,12,121,1211
121129,șef birou contabilitate,sef birou contabilitate,1,12,121,1211
121130,șef birou analize economice,sef birou analize economice,1,12,121,1211
121131,auditor public extern,auditor public extern,1,12,121,1211
121201,șef birou calificare și recalificare,sef birou calificare si recalificare,1,12,121,1212
121202,șef birou pensii,sef birou pensii,1,12,121,1212
121203,șef birou șomaj,sef birou somaj,1,12,121,1212
121204,șef oficiu șomaj,sef oficiu somaj,1,12,121,1212
121205,șef serviciu resurse umane,sef serviciu resurse umane,1,12,121,1212
121206,șef serviciu evaluarea resurselor de muncă,sef serviciu evaluarea resurselor de munca,1,12,121,1212
121207,manager resurse umane,manager resurse umane,1,12,121,1212
121208,șef centru perfecționare,sef centru perfectionare,1,12,121,1212
121209,șef birou resurse umane,sef birou resurse umane,1,12,121,1212
121301,"șef birou organizație politică, obștească, umanitară",sef birou organizatie politica obsteasca umanitara,1,12,121,1213
121302,"șef serviciu organizație politică, obștească, umanitară",sef serviciu organizatie politica obsteasca umanitara,1,12,121,1213
121303,inspector protecție civilă,inspector protectie civila,1,12,121,1213
121304,șef executiv audit intern,sef executiv audit intern,1,12,121,1213
121306,manager de securitate,manager de securitate,1,12,121,1213
121307,manager energetic,manager energetic,1,12,121,1213
121308,manager informații pentru afaceri,manager informatii pentru afaceri,1,12,121,1213
121309,manager pentru ordine și siguranță publică,manager pentru ordine si siguranta publica,1,12,121,1213
121310,șef birou corp control,sef birou corp control,1,12,121,1213
121311,manager comunicare guvernamentală,manager comunicare guvernamentala,1,12,121,1213
121901,șef serviciu,sef serviciu,1,12,121,1219
121902,șef atelier,sef atelier,1,12,121,1219
121903,șef secție,sef sectie,1,12,121,1219
121904,șef birou,sef birou,1,12,121,1219
121905,procuror șef birou/ serviciu,procuror sef birou serviciu,1,12,121,1219
121906,șef birou/ serviciu administrativ,sef birou serviciu administrativ,1,12,121,1219
121907,registrator coordonator,registrator coordonator,1,12,121,1219
121908,registrator-șef,registrator sef,1,12,121,1219
121909,"grefier-șef (judecătorie, parchet)",grefier sef judecatorie parchet,1,12,121,1219
121910,"grefier șef de secție (curte de apel, tribunal, parchete)",grefier sef de sectie curte de apel tribunal parchete,1,12,121,1219
121911,prim-grefier,prim grefier,1,12,121,1219
121912,șef laborator criminalistică,sef laborator criminalistica,1,12,121,1219
121913,șef proces fabricație,sef proces fabricatie,1,12,121,1219
121914,șef secțiune tehnică,sef sectiune tehnica,1,12,121,1219
121915,șef linie fabricație,sef linie fabricatie,1,12,121,1219
121916,responsabil industrializare produs,responsabil industrializare produs,1,12,121,1219
121917,șef grup funcțional tehnic,sef grup functional tehnic,1,12,121,1219
121918,șef sucursală (studii superioare),sef sucursala studii superioare,1,12,121,1219
121919,șef compartiment (studii superioare),sef compartiment studii superioare,1,12,121,1219
121920,director pentru relația cu investitorii,director pentru relatia cu investitorii,1,12,121,1219
122101,șef serviciu marketing,sef serviciu marketing,1,12,122,1221
122102,șef birou marketing,sef birou marketing,1,12,122,1221
122103,șef licitație,sef licitatie,1,12,122,1221
122104,director operații tranzacții,director operatii tranzactii,1,12,122,1221
122105,șef casă compensație,sef casa compensatie,1,12,122,1221
122106,șef agenție bursieră,sef agentie bursiera,1,12,122,1221
122107,"manager marketing (tarife, contracte, achiziții)",manager marketing tarife contracte achizitii,1,12,122,1221
122108,"conducător firmă mică - patron (girant) în afaceri, intermedieri și alte servicii comerciale",conducator firma mica patron girant in afaceri intermedieri si alte servicii comerciale,1,12,122,1221
122109,responsabil produs,responsabil produs,1,12,122,1221
122110,manager clienți strategici,manager clienti strategici,1,12,122,1221
122201,șef agenție reclamă publicitară,sef agentie reclama publicitara,1,12,122,1222
122202,șef birou reclamă publicitară,sef birou reclama publicitara,1,12,122,1222
122203,șef serviciu reclamă publicitară,sef serviciu reclama publicitara,1,12,122,1222
122301,arhitect-șef,arhitect sef,1,12,122,1223
122302,geolog-șef,geolog sef,1,12,122,1223
122303,secretar științific,secretar stiintific,1,12,122,1223
122304,șef formație lucrări geologice,sef formatie lucrari geologice,1,12,122,1223
122305,șef formație cercetare-dezvoltare,sef formatie cercetare dezvoltare,1,12,122,1223
122306,meteorolog-șef,meteorolog sef,1,12,122,1223
122307,director filială cercetare-proiectare,director filiala cercetare proiectare,1,12,122,1223
122308,"șef atelier ediție, multiplicare, expediție",sef atelier editie multiplicare expeditie,1,12,122,1223
122309,șef proiect cercetare-proiectare,sef proiect cercetare proiectare,1,12,122,1223
122310,șef secție cercetare-proiectare,sef sectie cercetare proiectare,1,12,122,1223
122311,șef atelier cercetare-proiectare,sef atelier cercetare proiectare,1,12,122,1223
122312,responsabil CTE (control tehnic-economic) în cercetare-proiectare,responsabil cte control tehnic economic in cercetare proiectare,1,12,122,1223
122313,director proiect,director proiect,1,12,122,1223
122314,șef proiect/ program,sef proiect program,1,12,122,1223
122315,inspector-șef inspecția meteorologică națională,inspector sef inspectia meteorologica nationala,1,12,122,1223
131101,hidrometeorolog-șef,hidrometeorolog sef,1,13,131,1311
131102,inginer-șef agricultură și silvicultură,inginer sef agricultura si silvicultura,1,13,131,1311
131103,inspector general vânătoare,inspector general vanatoare,1,13,131,1311
131104,medic veterinar șef,medic veterinar sef,1,13,131,1311
131105,șef centru protecția plantelor și mediului,sef centru protectia plantelor si mediului,1,13,131,1311
131106,șef centru reproducția și selecția animalelor,sef centru reproductia si selectia animalelor,1,13,131,1311
131107,"șef district, centru, ocol silvic",sef district centru ocol silvic,1,13,131,1311
131108,șef circumscripție sanitar-veterinară și control al alimentelor,sef circumscriptie sanitar veterinara si control al alimentelor,1,13,131,1311
131109,șef complex zootehnic,sef complex zootehnic,1,13,131,1311
131110,șef fazanerie,sef fazanerie,1,13,131,1311
131111,șef fermă agricolă (agrozootehnică),sef ferma agricola agrozootehnica,1,13,131,1311
131112,șef laborator analize pedologice,sef laborator analize pedologice,1,13,131,1311
131114,șef parchet,sef parchet,1,13,131,1311
131115,"șef pepinieră silvicolă, pomicolă, viticolă",sef pepiniera silvicola pomicola viticola,1,13,131,1311
131116,"șef stație hidrologică, meteorologică și incubație",sef statie hidrologica meteorologica si incubatie,1,13,131,1311
131117,"șef stație producție, exploatare, întreținere în agricultură",sef statie productie exploatare intretinere in agricultura,1,13,131,1311
131118,șef stație vinificație,sef statie vinificatie,1,13,131,1311
131119,șef stație lucrări de irigație și ameliorare a solului,sef statie lucrari de irigatie si ameliorare a solului,1,13,131,1311
131120,inspector veterinar șef,inspector veterinar sef,1,13,131,1311
131121,șef secție mecanizare,sef sectie mecanizare,1,13,131,1311
131122,conducător întreprindere mică - patron (girant) în agricultură și silvicultură,conducator intreprindere mica patron girant in agricultura si silvicultura,1,13,131,1311
131123,președinte cooperativă agricolă,presedinte cooperativa agricola,1,13,131,1311
131201,șef păstrăvărie,sef pastravarie,1,13,131,1312
131202,inginer-șef piscicultură și vânătoare,inginer sef piscicultura si vanatoare,1,13,131,1312
131203,conducător întreprindere mică - patron (girant) în piscicultură și vânătoare,conducator intreprindere mica patron girant in piscicultura si vanatoare,1,13,131,1312
132101,inginer-șef industria prelucrătoare,inginer sef industria prelucratoare,1,13,132,1321
132102,șef atelier industria prelucrătoare,sef atelier industria prelucratoare,1,13,132,1321
132103,șef sector industria prelucrătoare,sef sector industria prelucratoare,1,13,132,1321
132104,șef laborator în industria prelucrătoare,sef laborator in industria prelucratoare,1,13,132,1321
132105,șef modul în industria prelucrătoare,sef modul in industria prelucratoare,1,13,132,1321
132106,șef secție industrie prelucrătoare,sef sectie industrie prelucratoare,1,13,132,1321
132107,șef serviciu industrie prelucrătoare,sef serviciu industrie prelucratoare,1,13,132,1321
132108,șef birou industrie prelucrătoare,sef birou industrie prelucratoare,1,13,132,1321
132109,manager securitate instalații industria prelucrătoare,manager securitate instalatii industria prelucratoare,1,13,132,1321
132110,conducător întreprindere mică - patron (girant) industrie prelucrătoare,conducator intreprindere mica patron girant industrie prelucratoare,1,13,132,1321
132111,șef birou tehnic,sef birou tehnic,1,13,132,1321
132112,șef birou calitate,sef birou calitate,1,13,132,1321
132113,șef serviciu plan producție,sef serviciu plan productie,1,13,132,1321
132114,șef structura de securitate,sef structura de securitate,1,13,132,1321
132201,inginer-șef industria extractivă,inginer sef industria extractiva,1,13,132,1322
132202,șef atelier industria extractivă,sef atelier industria extractiva,1,13,132,1322
132203,șef sector industria extractivă,sef sector industria extractiva,1,13,132,1322
132204,șef modul în industria extractivă,sef modul in industria extractiva,1,13,132,1322
132205,șef secție industrie extractivă,sef sectie industrie extractiva,1,13,132,1322
132206,șef serviciu industrie extractivă,sef serviciu industrie extractiva,1,13,132,1322
132207,șef birou industrie extractivă,sef birou industrie extractiva,1,13,132,1322
132208,manager securitate instalații industria extractivă,manager securitate instalatii industria extractiva,1,13,132,1322
132209,conducător întreprindere mică - patron (girant) industrie extractivă,conducator intreprindere mica patron girant industrie extractiva,1,13,132,1322
132210,inginer- șef exploatare nucleară,inginer sef exploatare nucleara,1,13,132,1322
132211,inginer- șef radioprotecție,inginer sef radioprotectie,1,13,132,1322
132212,șef unități miniere,sef unitati miniere,1,13,132,1322
132213,șef brigadă exploatare minieră,sef brigada exploatare miniera,1,13,132,1322
132214,inspector- șef conservarea energiei,inspector sef conservarea energiei,1,13,132,1322
132215,șef centru prelucrare,sef centru prelucrare,1,13,132,1322
132216,șef laborator control tehnic de calitate a combustibilului nuclear,sef laborator control tehnic de calitate a combustibilului nuclear,1,13,132,1322
132217,șef serviciu tehnic și componente nucleare,sef serviciu tehnic si componente nucleare,1,13,132,1322
132218,șef serviciu termochimic,sef serviciu termochimic,1,13,132,1322
132219,"șef uzină, centrală electrică, gaze, apă",sef uzina centrala electrica gaze apa,1,13,132,1322
132220,"șef centrală electrică, gaze și apă",sef centrala electrica gaze si apa,1,13,132,1322
132221,șef atelier reparații capitale,sef atelier reparatii capitale,1,13,132,1322
132222,inspector general industria petrolieră,inspector general industria petroliera,1,13,132,1322
132223,șef formație industria petrolieră/ petrochimică,sef formatie industria petroliera petrochimica,1,13,132,1322
132224,șef instalație petrolieră,sef instalatie petroliera,1,13,132,1322
132225,șef laborator industria petrolieră,sef laborator industria petroliera,1,13,132,1322
132226,șef stație epurare ape reziduale,sef statie epurare ape reziduale,1,13,132,1322
132227,supervizor geolog și foraj,supervizor geolog si foraj,1,13,132,1322
132228,șef formație în industria de mașini și echipamente,sef formatie in industria de masini si echipamente,1,13,132,1322
132229,șef/ șef adjunct stație electrică,sef sef adjunct statie electrica,1,13,132,1322
